title,date,company,location,area,salary,description
Contract Data Engineer,15 Feb 2021,Hays Information Technology,Sydney,"CBD, Inner West & Eastern Suburbs",Negotiable,"Leading technology services and solutions provider are looking to recruit a Contract Data Engineer., , , , Leading technology services and solutions provider, , , , Contract Data Engineer, , , , , , A good day rate with a good chance of being extended and the chance to work on some exciting projects., , , If you're interested in this role, click 'apply now' to forward an up-to-date copy of your CV, or call us now., If this job isn't quite right for you but you are looking for a new position, please contact us for a confidential discussion on your career., , , LHS 297508"
Data and Analytics manager,1 Feb 2021,Humanised Group,Brisbane,CBD & Inner Suburbs,$120 000,
Data Engineer,1 Feb 2021,Azured Consulting Pty Ltd,Melbourne,CBD & Inner Suburbs,Full Time,"Azured is a specialist Microsoft consultancy that delivers Office 365, EM+S and Azure based solutions ,Azured believes in putting their people first and pushing the boundaries of what can be done "
Data Engineer - Data modelling - Python/SQL,5 Feb 2021,Mars Recruitment,Sydney,"CBD, Inner West & Eastern Suburbs",Full Time,"This newly created role involves working for a globally recognised bank who are now at the forefront of data engineering across a range of sectors., , , They are now seeking a talented and driven data engineer to join their commodities and global markets data transformation programme and play a key role in this transformative project., They are now searching for a proven data engineer to join their team to help develop cutting-edge applications and analysis as they are actively look for innovative ways to achieve outstanding results., , , This role comes with a wide range of responsibilities such as:, , To be considered for this role you will have the following skills and experience:, , The below skills are desirable:, , This newly created role offers an experienced ambitious Data Engineer the opportunity to join an extremely innovative results orientated environment., , , To apply for this role please send your resume in word format to - , or please phone , "
Data engineer/Big Data engineer,5 Feb 2021,Opus Recruitment Solutions,Sydney,Developers/Programmers,$650 - $750 per day,
"Data & Business Analysts, Data Engineers & Data Visual Developers x 13 Graduates",11 Feb 2021,First People Recruitment Solutions Pty Ltd,ACT,Government - Federal,APS4 and APS5 hourly rate contracts,
APS6 Senior Data Scientist,19 Jan 2021,SOS Recruitment,ACT,Government - Federal,Contract/Temp,"Reference Number: DK200121 - ACT01, ,17 month contract with the possibility of extension | Canberra ACT Location, ,Our Federal Government client is currently seeking an APS6 Senior Data Scientist to join their office on a contractual basis. Within this role, you will extract, manipulate, and analyse data, communicating the findings in a variety of contexts., ,Your responsibilities will include;, ,To be successful in this position, you will possess;, ,This opportunity is within the Australian Public Service.  In order to be considered, please note that candidates must be an Australian Citizen at time of application., ,SOS Recruitment is committed to the principles of workplace diversity and equity in employment and we encourage applications from Aboriginal and Torres Strait Islanders, people with disabilities, women, people with family responsibilities, people with diverse linguistic and cultural backgrounds, religious beliefs and LGBTIQ people. , "
Data Engineer - Fintech,14 Feb 2021,MCS Consulting,Sydney,"CBD, Inner West & Eastern Suburbs",$98k to $142k package + bonuses,"The business is a leading Financial Services Institution and has a dynamic, energetic culture forged in client delivery and progressive data analytical methods.,You'll be working closely with a newly created in-house Data Group and collaborate closely with IT, Marketing, Traders and other departments across the business.,Training is provided (e.g. AWS and programming courses) and you'll have the tools to succeed in this role. You'll also be mentored by some of the best Data professionals in the business. ,From a tech perspective, you'll be also heavily involved in troubleshooting, data discovery, and also have the opportunity to interact closely with the wider business.,   ,www.mcs-consulting.com.au, , We are more than happy to discuss career aspirations.     ,At MCS we are here to help, not just recruit, "
Senior Data Engineer - Advanced - Sydney,12 Feb 2021,ITOC Pty Ltd,Sydney,"CBD, Inner West & Eastern Suburbs",Full Time,"We are an award winning cloud consulting, engineering & managed services company with a proven track record assisting clients with their cloud strategy, implementation and operations.,As a leading consulting partner with Amazon Web Services,  we build relationships based on integrity and a no failed project ethos.,Culture and smarts are important to us. Bring your secret sauce. This is no ordinary environment, you will work along some of the Cloud’s best.,We work hard but we have fun. ,We are growing our Data Team in Sydney and looking to bring on those with technical leadership potential. This is an exciting role working with modern data architectures for data lakes, Apache Kafka, databases & warehouses, and data transformation (Python & SQL).,As a Senior Data Engineer you will be implementing foundational, robust and production ready data platforms to enable business data-discovery, self-service, AI/ML functions across a range of client types and industries, allowing them to do more with their data., ,You'll be responsible for:,To take up the challenge, you will have:,While not required, a background in consulting and professional services will be beneficial. ,This is an exciting and challenging career opportunity to join the growing Sydney-based Data Team of a leading cloud solution provider where you will be given support to reach your long term career goals. You will be part of a team of cloud experts and will work in an environment of continuous improvement and learning delivering innovative cloud solutions across SaaS, online and enterprise business.,As an employer of choice Itoc offers;"
Data Engineer,3 Feb 2021,GRANITE CONSULTING,Melbourne,Database Development & Administration,Competitive Salary or Daily Rate,
Data Engineer - ELT - 6-Month Contract,5 Feb 2021,Valrose,Perth,"CBD, Inner & Western Suburbs",Contract/Temp,
GCP Data Engineer ,15 Feb 2021,Peoplebank Australia VIC,Melbourne,Database Development & Administration,Contract/Temp,"Our client is an iconic organisation within Australia. They are currently seeking an experience GCP Data Engineer for initially 6 months., , ,If you are seeking the next step in your career, please APPLY NOW."
Project Manager - Data & Analytics,15 Feb 2021,Peoplebank Australia QLD,Brisbane,CBD & Inner Suburbs,Competitive Salary + Super,"Data Program, which is focussed on delivering ongoing business value enabled by data and analytics and accelerating access to the data and insights available from the data holdings. This will be working with stakeholders to design, build, test and maintain Data and Analytics solutions that underpin the organisations operations. They are committed to achieving a contemporary, client-focused organisation by transforming the client and staff experiences through building a class leading data and analytics capability.,Within this role you will be:,- A senior leader responsible for developing and delivering technology programs and projects in a complex environment. Your focus will be on delivering immediate business value, with a future focused approach;,- Leading data and analytics focused projects and their dependencies to promote change, innovation and transformation across the organisation;,- Providing strategic direction, operational support and reporting, as well as integration, risk, issue and dependency management. ,- Contributing ideas and activities to improve overall program delivery and support the transition of technology investment into daily operations;,- Driving initiatives and developing strategies to promote and build project management capability. ,- As an outward-focused leader, you'll represent the organisation, engage the community, build strategic partnerships and uphold world class data and analytics standards.,To be successful in this role, you must:,- Be experienced in leading large and complex data and analytics program delivery through multi-modal delivery lifecycles in highly integrated and non-integrated environments; ,- Have advanced knowledge of project, planning and scheduling software, such as MS Project, MS Team Foundation Server, Primavera;,- Be comfortable in collaborating, communicating and leveragig relationships to influence, negotiate and support the delivery of complex solutions and business value;,- Have experience developing and leading strategic change management approaches;,- Be a courageous leader who experiments and innovates with a proven history of leading high performing teams through ambiguity., , , For more information or a confidential discussion, please contact Stephanie Mlady or Donna Prince on , quoting reference 209720, , To apply please click the 'Apply Now' button., "
Data Product Owner / Python / SQL /AWS / Sydney,1 Feb 2021,4TWENTY Consulting,Sydney,"CBD, Inner West & Eastern Suburbs",Full Time,
Data Analyst,10 Feb 2021,IPA Townsville,Northern QLD,"Environmental, Earth & Geosciences",Contract/Temp,
Machine Learning Engineer,25 Jan 2021,T+O+M Executive,Sydney,"CBD, Inner West & Eastern Suburbs",Full Time,"You will be joining a high-performing data science team in a leading financial services business who are looking to push the boundaries for what is possible with ML.,After hugely surpassing expectations productionising an advanced ML solution late last year, the greenlight has been given to hire a talented ML Engineer to build and deploy custom ML cloud-based applications to further explore and solve some of their most critical and complex business problems.,Ideally, we are looking for candidates with 3-6 years’ practical experience with the following skillset:,If you get excited about delivering real business value using Data Science, and this sounds like the next exciting step in your career, please reach out for a confidential discussion – ,, or click the link to apply. Shortlisted candidates will be contacted."
Report Developer Lead,12 Feb 2021,IRI,Sydney,Parramatta & Western Suburbs,Contract/Temp,"IRI is a leading provider of integrated big data, predictive analytics and actionable insights. We uniquely combine point-of-sale, shopper loyalty and shopper panel data using our leading data technology platform. In doing so, IRI guide over 5,000 global clients in making data-led decisions that ultimately grow their businesses. As a leading market intelligence provider in Australia and New Zealand exceptional client service is part of everything we do.,
,
,As a result of a new and exciting project, we have a fixed-term opportunity available, to join our Solutions & Innovations department as a Report Developer Lead.  In this role, you will be responsible for the design, development, and management of IRI’s best practice reporting for different FMCG solutions. You will work closely with clients to define their customised reporting requirements, make recommendation and grow and expand on content as the solutions grow. ,You are reliable, organised and pro-active, with a ‘can-do’ attitude and curious nature. You love working as part of a team and engaging in collaborative problem solving. You are passionate about what you do and continually strive to improve how you do things. ,You will have:,IRI is a leading provider of integrated big data, predictive analytics and actionable insights. Through our industry-knowledge and leading technology platform, IRI enables over 5,000 global clients to make data-led decisions that grow their business. ,Working in a dynamic environment, you will join a supportive team, where you will have lots of opportunities to learn and grow. At IRI we are focused on building a progressive and inclusive culture and workplace that enables individuals to be our best.,Here are just some of the exciting opportunities we offer our people:,If this sounds like you, we are excited to meet you!,Please click 'apply now', send us your resume and tell us why you are the best person for this role.,Candidates with full working rights in Australia are preferred."
"Junior Data Engineer, Service Desk",4 Feb 2021,BizCubed Pty Ltd,Sydney,North Shore & Northern Beaches,"$50,000 - $69,999","BizCubed is looking for an energetic and enthusiastic Junior Data Engineer to join our small Service Desk team, which is the core function of our engineering firm.,You will be on the front-line of delivering our cutting-edge data engineering platform. Your job will be to ensure that it is fully operational and running clean of any issues in all our Customer’s environments. You will work with our customers every day, helping them achieve best-in-class analytics solutions.,This role expects you to be passionate about delighting our customers and will require you to think creatively and logically to ensure we deliver best in class service within the definitions of the program and the contracted services.,Internally, you will improve our ways of working by identifying pain points and automating the repeatable.,As you will be at the cutting edge of analytics technologies and capabilities, on-the-job training and learning while you work are a key aspect of your day in order to deliver for your customers.,Your customers are some of the most recognized companies in Australia and you will be helping them to use data to make better decisions each day.  The role will combine your technical and customer engagement skills to supply superior value to our customers.,Submit your CV , a Cover Letter telling us about:"
Data Engineer - Banking/Finance exp.,8 Feb 2021,Mars Recruitment,Sydney,"CBD, Inner West & Eastern Suburbs",Full Time,"This newly created role involves working for a globally recognised bank who are now at the forefront of data engineering across a range of sectors.,My client are now seeking a talented and driven data engineer to join their commodities and global markets data transformation programme and play a key role in this transformative project., They are now searching for a proven data engineer to join their team to help develop cutting-edge applications and analysis as they are actively look for innovative ways to achieve outstanding results., This role comes with a range of responsibilities such as:, To be considered for this role you will have the following skills and experience:, The below skills are desirable:, This newly created role offers an experienced ambitious Data Engineer the opportunity to join an extremely innovative results orientated environment., To apply for this role please send your resume in word format to - , or please call "
AWS Data Engineer,9 Feb 2021,Aurec,Melbourne,CBD & Inner Suburbs,Full Time,
DataOps Engineer,28 Jan 2021,Tamr,Sydney,"CBD, Inner West & Eastern Suburbs","$130,000 - $159,999","Tamr DataOps Engineers are highly technical data scientists and engineers who understand all aspects of the business. We know how to pitch the product to anyone from software architects to business executives. Often we’re working on the most challenging problems in the enterprise and we have to dig deep to understand the business value and deliver technical solutions. As the company’s outward-facing, technical resource, the work of the whole group is varied. We build prototypes, direct product development, work with sales on accounts, implement pilot solutions, and deploy full production rollouts. DataOps Engineers are expected to be highly efficient and resourceful when leading these projects.,We are a US Based company but rapidly expanding in APAC, and we are looking for a DOE who thrives working with our existing local partners and customers, as well selling, onboarding and working hand in hand with the next wave of Tamr prospects.,We are looking for someone who loves to write code, and has a genuine interest in being customer-facing. We are building and selling a human-in-the-loop machine learning platform for the enterprise to help companies automatically unify and categorize their data to drive new analytic and operational insight. We are looking for engineers interested in creating front line code to solve real customer problems, ranging from back-end data processing and machine learning, to front end presentation and dashboarding."
Big Data Engineers(multiple poitions),11 Feb 2021,Zone IT Solutions,Sydney,"CBD, Inner West & Eastern Suburbs",Full Time,"We are looking for a Hadoop Engineer for a Sydney based role. You will be a part of a global consulting firm for one of their exciting projects.,Zone IT Solutions is an Australia based Recruitment company. We specialize in Digital, Big data, SAP, Salesforce, Integration, and larger IT Services. We offer flexible, efficient, and collaborative solutions to any organization that requires IT, experts. Our agile, agnostic, and flexible solutions will help you source the IT Expertise you need. Our delivery Offices are in Melbourne, Sydney, Singapore, and India. If you are looking for new opportunities your profile at Careers@zoneitsolutions.com or contact us at ,.,Zone IT Solutions is an equal opportunity employer and our recruitment process focuses on essential skills and abilities. We welcome applicants from a diverse range of backgrounds, including Aboriginal and Torres Strait Islander peoples, people from culturally and linguistically diverse (CALD) backgrounds, and people with disabilities."
Data Engineer  Global Build out ,5 Feb 2021,Mars Recruitment,Sydney,"CBD, Inner West & Eastern Suburbs",Full Time," They are now seeking a talented and driven data engineer to join their commodities and global markets data transformation programme and play a key role in this transformative project., They are now searching for a proven data engineer to join their team to help develop cutting-edge applications and analysis as they are actively look for innovative ways to achieve outstanding results., This role comes with a wide range of responsibilities such as:, To be considered for this role you will have the following skills and experience:, The below skills are desirable:, This newly created role offers an experienced ambitious Data Engineer the opportunity to join an extremely innovative results orientated environment., To apply for this role please send your resume in word format to - , or please phone "
APS6 - EL1 Data Analyst | Econometrician x 8,1 Feb 2021,First People Recruitment Solutions Pty Ltd,ACT,Government - Federal,APS6 and EL1 hourly rate contracts,
Data Engineer - GCP,5 Feb 2021,Perigon Group Pty Limited,Sydney,"CBD, Inner West & Eastern Suburbs",Full Time,
Big Data (Data Migration) Test Analyst - Melbourne,9 Feb 2021,AYAN INFOTECH PTY LTD,Melbourne,Testing & Quality Assurance,Full Time," is looking for , to join an exciting project based in ,. The role offers you the opportunity to contribute towards an extremely well structured and mature environment, working on sophisticated enhancement projects., Big Data (Data Migration) Test Analyst, , Melbourne, , Permanent Position, , 7+ Years,Please note we will be able to contact only shortlisted candidates for this role. We thank you in advance for your interest."
Data Analysis,2 Feb 2021,Excel Recruitment,Adelaide,Data Entry & Word Processing,Contract/Temp," ,Our client is seeking three motivated individuals to identify, review and resolve data which is unable to be resolved automatically as it moves from a previous system to a new system. ,The role will also include providing customer and business support, processing of order requests, customer applications, enquiries, and cyclic meter reading., "
Data Engineer,21 Jan 2021,Enzen Pty Ltd,Brisbane,CBD & Inner Suburbs,Full Time,"Enzen Australia is an innovative & knowledge-based Consulting, Technology, Engineering and Operations organisation exclusively working in the Energy and Utility sectors. We provide outcome-based turnkey solutions, blending industry best practices and leading-edge ideas with a continuous focus on meeting our customers' expectations. ,Our purpose is to make energy & water accessible, affordable and sustainable to all!,LOCATION: Brisbane or Adelaide,Essential Experience:  ,Advantageous: ,To apply, please submit a copy of your updated resume and cover letter addressing the requirements presented in the 'About YOU' section. Screening will be conducted as we receive applications and ONLY shortlisted applicants will be contacted.,For more information or to have a confidential discussion, please contact our Talent Acquisition Specialist, , on shreya.pahwa@enzen.com."
Big Data Consultants ALL LEVELS,1 Feb 2021,RUBIX,Melbourne,CBD & Inner Suburbs,Full Time,
Big Data Engineer (Multiple Positions),11 Feb 2021,Adaps IT,Melbourne,CBD & Inner Suburbs,$120k - $160k p.a.," Big Data Consultants to join our Client Engineering team and to develop cutting-edge applications. Our Client is a leading Data Analytic Company in Australia. They are industry pioneers and actively look for innovative ways to achieve great results, which do speak for themselves:, To be successful in this role, you must have:,Preferred skills are:,Provide thought leadership in support of design and implementation of a big-data platform. Lead in the transformation from structured to unstructured data, evaluating new technologies and approaches leading to scalable Big Data platforms., , Please apply using the link below or call , on , for further details. Applications closes based on the volume of applications received. Only short-listed candidates will be contacted., Adaps is an equal opportunity employer that actively embraces diversity in its workforce through accurate community representation of gender, culture; thought and work arrangements"
Data Analyst,11 Feb 2021,SustainAbility Consulting,Sydney,Developers/Programmers,"$100.000 - $115,000",
Senior Data and Analytics Manager,5 Feb 2021,Humanised Group,Brisbane,CBD & Inner Suburbs,Up to $180k,
"Technical Writer - Data, Cloud & Analytics!",8 Feb 2021,Talent Insights Group Pty Ltd,Melbourne,CBD & Inner Suburbs,Negotiable based on person!,
Data Monitor,11 Feb 2021,Linehaul Express Australia,Brisbane,CBD & Inner Suburbs,Full Time,"Linehaul Express Australia (LEA) is the provider of Linehaul and Onforward services to Aramex.,Aramex is a prominent global logistics company providing courier services to Australian business and consumers.,The role of the Data Monitor & Analyst is to be the go-to-person for ensuring all Onforward Partners have data to match all the freight received by them.,Ensure that data entered through multiple input platforms are transferred through to numerous Onforward Agents around Australia.,Ensure that Freight is correctly manifested at point of origin, in line with SOP’s.,The successful candidate will have exceptional analytical, written and verbal skills, along with a keen eye for detail, and be able to build relationships across multiple business areas.,It is important to enjoy working both autonomously and as part of a team.,You will take pride in your craft, have a sense of curiosity, and be willing to roll up your sleeves to ensure tasks are controlled and completed.,Reporting to the GM’s Linehaul and Onforwarding, you will be responsible for:,If you think that this role is for you then please “apply now”,Applications close: 22nd February 2021"
Senior Python/Data Engineer,4 Feb 2021,Opus Recruitment Solutions,Sydney,Developers/Programmers,$800 - $1000 per day,
Research Associate,15 Feb 2021,First People Recruitment Solutions Pty Ltd,Melbourne,"Psychology, Counselling & Social Work",Full Time,
Head of Data and Insights,11 Feb 2021,PTI Digital Australia,Melbourne,CBD & Inner Suburbs,"$90,000 - $109,999","Job Type: Full Time         ,Location: Melbourne or Sydney,Reporting into: General Manager – Australia and NZ                      ,PTI Digital are looking for an ambitious Head of Data & Insight. If you love sport, live entertainment and the challenge of converting strategy into a high-quality executional approach, we want you on our team!,Specialists in the sport and entertainment industry, the company’s head office is in the UK whilst we have also expanded into Australia in 2020, with plans in North America from 2021. ,PTI work across a turnkey digital offering; consulting > technology selection > deployment > commercialisation and are strengthening our team to support our growing client base and global expansion plans across this offering. ,We have worked with over 75 clubs and venues globally, covering 40% of the Premier League, 70% of the EFL Championship and eight diverse sports alongside our entertainment portfolio. ,This role aims to blend internal support for our Commercial Services projects, alongside the ability to deliver data consultancy to clients front of house. It will be fast-paced, occasionally requiring evening and weekend work given the nature of the business., ,The role has significant growth potential, domestically and internationally, supporting the growth of the company., , "
Machine Learning Engineer,18 Jan 2021,Intelligen Pty Ltd,Sydney,"CBD, Inner West & Eastern Suburbs",Contract/Temp," , One of Australia's leading retail organisations based in Surry Hills is looking for a Machine Learning Engineer to lay the platform for their huge BI transformation project., , , , The role requires swift execution of Big Data Engineering, Machine Learning and DevOps best practice on Terabytes of data from the largest Australian retail company. Working as part of a data engineering team, hand in hand with data scientists, be prepared to build cutting edge pipelines and experiment with best data engineering and ML tech available on the market. The team has a culture of its own, which involves an innate desire to do things differently with high quality and push tech to its limits. No matter how experienced you are, be prepared to learn a lot!, , It will be your job to:, , Strong software engineering background and passion for high quality design and code., , 2-5 years of commercial experience with Scala, Spark, SQL and Python, , Total automation mentality (CI/CD), , Very good command of Linux, , Exceptional communication skills, , Autonomy, , 2-5 years of end to end delivery of Terabytes size Data Engineering pipelines, , 1-3 years of DevOps experience (GCP/AWS, Kubernetes, Terraform), , The headhunt drive for this role has already started - if you feel that this is the next step in your career, apply now!!, "
Data & Analytics Technical Consultant (Regional Applicants Welcome!),11 Feb 2021,Exposé,Adelaide,Consultants,Full Time," ,Join a growing, flexible & award winning consulting company who values and invests in its employees and who is making a substantial mark on the Business Intelligence and Data and Analytics market nationally. , ,One of Australia's leading Data and Analytics Consultancy is seeking a professional and skilled Data and Analytics Consultant to join our established and awesome team. Working across all industries, we currently assist enterprise, government and commercial customers with the delivery of scalable, leading edge and award winning solutions which we have been told are game changers for them in their industries (and we are proud as punch!), ,We are accepting candidates who are located in either South Australia or Victoria.,We also encourage regional candidates to apply!, , , ,We're a collaborative bunch that love getting together and making a positive difference across our team and clients. Offering great benefits to our employees, including a technology allowance, professional development allowance and paid development days off. We are actively involved in the community, regularly hosting networking events and supporting our staff to speak at relevant forums and events. ,If you want to work with some of the most talented Data & Analytics technologists in the market, who are truly passionate about what they do, then this is could be your opportunity to join a secure and growing consultancy., "
Head of Trading - AdTech & Data Player (Melbourne or Sydney location),2 Feb 2021,Insight Resourcing,Sydney,"CBD, Inner West & Eastern Suburbs",Senior salary package,
Data Engineer,29 Jan 2021,Peoplebank Australia NSW,Sydney,Engineering - Software,Full Time," ,Our client, a Globally recognised consultancy seek to engage an experienced Azure Big Data Engineer to be deployed on a number of projects within the Finance and Telecommunications sector, , The ideal candidate will have prior demonstrated extensive client facing experience, , This is a key role within the project, you must be a clear and precise communicator with outstanding documentation skills as you will be liaising with business stakeholders of all levels., , , , ,If interested in the role please select APPLY or contact , , Quoting reference 208553, "
Head of Insights & Analytics,3 Feb 2021,Talentpool Recruitment Group,Sydney,"CBD, Inner West & Eastern Suburbs",$150K - $180K + Super,
Data Scientists - contract opportunities,27 Jan 2021,Opus Recruitment Solutions,Melbourne,CBD & Inner Suburbs,$700 - $750 per day,
Data Engineer,30 Jan 2021,Troocoo,Sydney,Engineering - Software,Contract/Temp,
Data Analytics Consultant,3 Feb 2021,ITbility,Melbourne,CBD & Inner Suburbs,Contract/Temp," ,My Client is looking for a ,to join their team in ,If you're interested and looking for your next role please email your resume to , , ,To apply, please submit your resume ASAP for immediate consideration or email ,."
Business / Data Analyst,25 Jan 2021,PCM,Adelaide,Analysts,Full Time," ,Profitable Channels Management (PCM) are profit optimisation and business transformation specialists. We work with some of Australasia's largest organisations, to transform existing data and business knowledge into incremental profit opportunities.,We are seeking a talented and motivated analyst to join our consulting team, working with clients to improve their customer and product profitability.,The successful candidate will have 3-5 years hands on experience working with large, complex datasets and cost allocation models, in the private sector. A knowledge of cost accounting and financial statements would be an advantage., , ,The successful candidate will be responsible for :, , ,And will demonstrate the following skills and attributes :, , ,A very competitive salary is offered with a healthy performance based bonus, based on deliverables and deadlines for client projects.,: Candidates introduced by Agencies will not be considered at this time., "
Energy Modelling Analyst,27 Jan 2021,Aurora Energy Research,Sydney,"CBD, Inner West & Eastern Suburbs","$70,000 - $84,999","Aurora Energy Research is a dynamic and fast-growing energy analytics company. We provide optimisation solutions and data-driven analytics on European and global energy markets that helps our clients navigate the global energy transformation.,Founded in 2013 by a group of University of Oxford academics on the premise that technological progress, and policies tackling climate change, render energy markets increasingly complex, but that this complexity yields to rigorous, sophisticated analysis and modelling.,Aurora is now a thriving, rapidly-growing company of over 90 staff with offices in Oxford, Berlin and Sydney. Demand for our services – spanning subscription research and consultancy – is immense, in the UK and abroad. We currently serve over 200 of Europe’s most influential energy sector participants, and we expect to grow beyond 150 staff over the next 18 months.,Analyst/Senior Analyst (Australia),Based in Sydney, Australia, you will contribute to the firm, by developing analysis and conveying insights to enhance clients’ decision making. You will play an active role in all aspects of client engagement: helping identify issues, forming hypotheses, conducting analysis, and synthesising conclusions into recommendations.,The successful applicants will combine technical strength with a strong track record of leadership and performance in team-oriented environments.,Successful candidates will work in a dynamic, intellectually stimulating, and demanding yet supportive environment. They will enjoy autonomy, the opportunity to substantially influence major decisions in the energy sector, and to grow into industry experts under the guidance of directors with deep experience addressing major strategic issues at the world’s leading advisory firms.,Key responsibilities,• Develop timely and rigorous quantitative analyses to enhance clients’ decision making,• Work closely with our modelling team, structuring economic problems into quantifiable analyses and deriving insights from the model results,• Contribute to Aurora’s product development, by identifying new opportunities and expanding our capabilities,• Engage with clients to thoroughly understand their requirements,• Communicate findings to clients,Requirements,• At least 3 years’ experience in a highly relevant role,• First class or high second class degree from a top university in a quantitative subject (Mathematics, Economics, Physics, Engineering, Finance),• An ability to collect, analyse and interpret complex quantitative data and information,• Evidence of strong performance in team-oriented environments,• An ability to communicate and collaborate with both technical and non-technical parties,• Demonstrated success in project management preferred,• Fluency in a second language beneficial but not essential, , "
Big Data Consultant,27 Jan 2021,RUBIX,Melbourne,CBD & Inner Suburbs,Full Time,
Data Engineer,20 Jan 2021,Green Light PS Pty Ltd,Perth,"CBD, Inner & Western Suburbs",Contract/Temp,
Head of Delivery AI & Analytics,19 Jan 2021,Troocoo,Sydney,Management,Full Time,
Junior Data Analysts,12 Feb 2021,Compas Pty Ltd,ACT,Database Development & Administration,Contract/Temp,
DATA ENGINEER,19 Jan 2021,Ajeka,Brisbane,CBD & Inner Suburbs,Full Time,"You will be engaged with a range of client-side engagements with blue-chip Financial Services companies.  You will be working with modern data platforms, supporting architecture, data analysis, data modelling, integration, ETL/ELT, BI and data visualization activities.  You will assist with the evolution from retrospective traditional Business Intelligence into contemporary work practices on a modern technology stack, including the delivery of reports, visualisations and integration with other systems and processes.    ,Backed by a niche consulting practice that is focused on providing the support and profile required for success, you will work alongside your team who are similarly passionate about evolving new skills and building great solutions, in a dynamic positive-culture environment., ,Skilled in Data Warehousing & Business Intelligence, you will be a problem-solver at heart who lives and breathes SQL.  You will be adept in delivering solutions that turn data into knowledge for our business by sourcing and wrangling data into valued insights and actions, and ultimately being able to deliver production grade data solutions.,You will be an analyst at core.  You are curious, creative and have a collaborative attitude, paired with strong business acumen and communication skills.  Your contribution will directly strengthen data platforms to help us sustain our trusted and sustainable information delivery service for our clients.,A desire to learn and play with emerging technologies is essential: you have the disposition and the drive to acquire new skills including Advanced Analytics, Cloud and Big Data technologies.  Experience with Azure cloud native data technologies such as Data Factory, Data Bricks, Cosmos DB etc. is highly desirable., ,With end-to-end experience, your focus will be on adhering to Development standards and solutions that will assist with the evolution from legacy BI-orientated practices into contemporary cloud-based streaming solutions and work practices:, , ,Ajeka offers Financial Services industry-specialist resources that enable delivery of data and digital business change.  Our team are ready-equipped with skills and experience to hit the ground running.  ,We are a professional services firm that is focused on delivery.  We challenge the status quo by working to define and implement traditional and emerging technologies, and thereby enabling our associates to acquire new skills and experiences.  Our aim is to provide services that are abreast of new technologies and knowledge as the emerge so you are always on the front foot.  , ,Continuous learning is core to our values & culture. ,As a naturally curious individual, you will have many opportunities to develop your technical and consulting skills.  Coupled with a strong mentoring program, internal training and industry certification, you are provided with everything you need for success. ,We continually evolve our employee proposition in conjunction with our network of clients and service providers to bring back value to you with unique Employee offers, discounts and incentives.,As a consultant, you will have the opportunity to work across multiple projects across our client base significantly increasing your skills and exposure in the industry.  Information sharing is essential: we are open & transparent about our knowledge & advice and support our clients to transition skills to their teams.  Our unrivaled development program and industry exposure that allows you to become, and thereafter remain, an industry leader.  ,We want those who drive the development of their careers towards people leaders, senior advisors and onto partnership., ,Our team enjoy a range of employee benefits, including training programs, employee wellness services, specialist discounts and education services.  We have a broad established network of industry affiliations, including participation at key industry conferences.  Our team work from where they need to, which includes flexibility to work at alternative locations including from home.    , ,If this is you, please send us a copy of your resume and a cover letter outlining how you meet our selection criteria."
Data Engineer,22 Jan 2021,Profusion PAC Pty Ltd,Sydney,"CBD, Inner West & Eastern Suburbs","$140,000 - $160,000 p.a. + super",
Associate Director - Intelligent Analytics,22 Jan 2021,Nielsen Connect Australia Pty Ltd,Sydney,Ryde & Macquarie Park,Full Time,"ASSOCIATE DIRECTOR – NIELSENIQ INTELLIGENT ANALYTICS,An exciting opportunity to join the Pacific Intelligent Analytics (iA)  department of NielsenIQ, based in Sydney. The iA team is at the heart of the regression modelling solutions across Nielsen. Our team of data scientists and management consultants supports clients make better data-driven with our proprietary platforms., ,What we are looking for:,The successful candidate will demonstrate the ability to utilise data and statistical tools to form recommendations and communicate these insights to stakeholder groups of our clients. The capability to leverage multiple data sets is required (i.e. International Monetary Fund, Organisation for Economic Co-operation and Development and, Australia Bureau of Statistics) to manage key business deliverables in the revenue management domain while identifying avenues for continuous improvement of the business of our clients.,Selection Criteria:,Role Responsibilities:,What will your typical day look like?, "
Data Engineer,28 Jan 2021,GMT People,ACT,Developers/Programmers,Long term contract!,"Our client is a federal government agency seeking an , to help deliver strategic business transformation.,You will have experience in the Azure data stack and be capable of working autonomously to design, implement and maintain data transformation pipelines, data warehouses and analytics platforms."
Azure Data Engineer,4 Feb 2021,Aurec,Melbourne,CBD & Inner Suburbs,Competitive Daily Rate ,"This large-scale Utility organisation is looking for an experienced ,, to support the data pipeline for the Data Modelling, Data Warehousing, Business Intelligence and Visualisation, as well as supporting the Data Science team. , , This organisation is based in , and they are offering a competitive daily rate and an initial ,., The ideal candidate would possess the following skills/experience:,If you're looking for a challenge, this is an opportunity you can't miss! Apply directly to this job posting or contact Jay Kacha for a confidential discussion., , Data Engineer | Azure | Microsoft | Power BI | Victoria | Melbourne CBD | Contract | End User | Utilities"
